time,taxi_id,x,y
0,0,18,0
0,1,8,18
0,2,3,2
0,3,18,10
0,4,12,8
0,5,7,9
0,6,15,1
0,7,12,18
0,8,18,6
0,9,6,15
1,0,18,1
1,1,9,18
1,2,3,3
1,3,18,9
1,4,12,9
1,5,6,9
1,6,15,2
1,7,12,17
1,8,17,6
1,9,7,15
2,0,18,2
2,1,9,17
2,2,3,4
2,3,17,9
2,4,11,9
2,5,6,10
2,6,15,3
2,7,12,16
2,8,16,6
2,9,8,15
3,0,18,3
3,1,9,16
3,2,3,5
3,3,16,9
3,4,10,9
3,5,6,11
3,6,14,3
3,7,12,15
3,8,15,6
3,9,9,15
4,0,17,3
4,1,9,15
4,2,3,6
4,3,15,9
4,4,9,9
4,5,6,12
4,6,13,3
4,7,12,14
4,8,14,6
4,9,10,15
5,0,16,3
5,1,9,14
5,2,3,7
5,3,14,9
5,4,8,9
5,5,6,13
5,6,12,3
5,7,12,13
5,8,13,6
5,9,11,15
6,0,15,3
6,1,9,13
6,2,3,8
6,3,13,9
6,4,9,9
6,5,6,14
6,6,12,4
6,7,12,12
6,8,12,6
6,9,12,15
7,0,14,3
7,1,9,12
7,2,3,9
7,3,12,9
7,4,9,10
7,5,6,15
7,6,12,5
7,7,11,12
7,8,11,6
7,9,13,15
8,0,13,3
8,1,9,11
8,2,3,10
8,3,11,9
8,4,9,11
8,5,6,16
8,6,12,6
8,7,10,12
8,8,10,6
8,9,14,15
9,0,12,3
9,1,9,10
9,2,3,11
9,3,10,9
9,4,9,12
9,5,6,17
9,6,12,7
9,7,9,12
9,8,9,6
9,9,15,15
10,0,11,3
10,1,9,9
10,2,3,12
10,3,9,9
10,4,9,13
10,5,6,18
10,6,12,8
10,7,9,11
10,8,8,6
10,9,16,15
11,0,10,3
11,1,9,8
11,2,4,12
11,3,8,9
11,4,9,14
11,5,6,19
11,6,12,9
11,7,9,10
11,8,7,6
11,9,17,15
12,0,9,3
12,1,9,7
12,2,5,12
12,3,7,9
12,4,9,15
12,5,6,18
12,6,12,10
12,7,9,9
12,8,6,6
12,9,18,15
13,0,8,3
13,1,9,6
13,2,6,12
13,3,6,9
13,4,10,15
13,5,6,17
13,6,12,11
13,7,9,8
13,8,6,7
13,9,18,14
14,0,7,3
14,1,9,5
14,2,5,12
14,3,5,9
14,4,11,15
14,5,6,16
14,6,12,12
14,7,9,7
14,8,6,8
14,9,18,13
15,0,6,3
15,1,9,4
15,2,4,12
15,3,4,9
15,4,12,15
15,5,6,15
15,6,12,13
15,7,9,8
15,8,6,9
15,9,18,12
16,0,6,4
16,1,9,3
16,2,3,12
16,3,3,9
16,4,13,15
16,5,6,14
16,6,12,14
16,7,9,9
16,8,6,10
16,9,17,12
17,0,6,5
17,1,10,3
17,2,3,11
17,3,2,9
17,4,14,15
17,5,6,13
17,6,12,15
17,7,9,10
17,8,6,11
17,9,16,12
18,0,6,6
18,1,11,3
18,2,3,10
18,3,1,9
18,4,15,15
18,5,6,12
18,6,12,16
18,7,9,11
18,8,6,12
18,9,15,12
19,0,6,5
19,1,12,3
19,2,3,9
19,3,0,9
19,4,15,14
19,5,6,11
19,6,12,17
19,7,9,12
19,8,6,13
19,9,15,11
20,0,6,4
20,1,12,2
20,2,2,9
20,3,1,9
20,4,15,13
20,5,6,10
20,6,12,16
20,7,10,12
20,8,6,14
20,9,15,10
21,0,6,3
21,1,12,1
21,2,1,9
21,3,2,9
21,4,15,12
21,5,6,9
21,6,12,15
21,7,11,12
21,8,6,15
21,9,15,9
22,0,7,3
22,1,12,0
22,2,1,9
22,3,3,9
22,4,15,11
22,5,6,8
22,6,12,14
22,7,12,12
22,8,6,16
22,9,15,8
23,0,8,3
23,1,12,1
23,2,1,9
23,3,3,10
23,4,15,10
23,5,6,7
23,6,12,13
23,7,13,12
23,8,6,17
23,9,15,7
24,0,9,3
24,1,12,2
24,2,1,9
24,3,3,11
24,4,15,9
24,5,6,6
24,6,12,12
24,7,13,12
24,8,6,18
24,9,15,7
25,0,10,3
25,1,12,3
25,2,1,9
25,3,3,12
25,4,15,8
25,5,6,5
25,6,12,11
25,7,13,12
25,8,7,18
25,9,15,7
26,0,11,3
26,1,11,3
26,2,1,9
26,3,3,13
26,4,15,7
26,5,6,4
26,6,12,10
26,7,13,12
26,8,8,18
26,9,15,7
27,0,12,3
27,1,10,3
27,2,1,9
27,3,3,14
27,4,15,6
27,5,6,4
27,6,12,9
27,7,13,12
27,8,9,18
27,9,15,7
28,0,13,3
28,1,9,3
28,2,1,9
28,3,3,15
28,4,15,5
28,5,6,4
28,6,12,8
28,7,13,12
28,8,9,18
28,9,15,7
29,0,14,3
29,1,8,3
29,2,1,9
29,3,3,16
29,4,15,4
29,5,6,4
29,6,12,7
29,7,13,12
29,8,9,18
29,9,15,7
30,0,15,3
30,1,7,3
30,2,1,9
30,3,3,17
30,4,15,3
30,5,6,4
30,6,12,6
30,7,13,12
30,8,9,18
30,9,15,7
31,0,16,3
31,1,6,3
31,2,1,9
31,3,3,18
31,4,15,3
31,5,6,4
31,6,12,5
31,7,13,12
31,8,9,18
31,9,15,7
32,0,17,3
32,1,5,3
32,2,1,9
32,3,4,18
32,4,15,3
32,5,6,4
32,6,12,4
32,7,13,12
32,8,9,18
32,9,15,7
33,0,18,3
33,1,4,3
33,2,1,9
33,3,5,18
33,4,15,3
33,5,6,4
33,6,12,3
33,7,13,12
33,8,9,18
33,9,15,7
34,0,18,4
34,1,3,3
34,2,1,9
34,3,6,18
34,4,15,3
34,5,6,4
34,6,13,3
34,7,13,12
34,8,9,17
34,9,15,7
35,0,18,5
35,1,3,4
35,2,2,9
35,3,7,18
35,4,15,3
35,5,6,4
35,6,14,3
35,7,13,12
35,8,9,16
35,9,15,8
36,0,18,6
36,1,3,5
36,2,3,9
36,3,8,18
36,4,15,3
36,5,6,4
36,6,15,3
36,7,13,12
36,8,9,15
36,9,15,9
37,0,18,7
37,1,3,6
37,2,3,8
37,3,9,18
37,4,15,3
37,5,6,4
37,6,16,3
37,7,12,12
37,8,9,14
37,9,14,9
38,0,18,8
38,1,3,7
38,2,3,7
38,3,10,18
38,4,15,3
38,5,6,4
38,6,17,3
38,7,12,13
38,8,9,13
38,9,13,9
39,0,18,9
39,1,3,8
39,2,3,6
39,3,11,18
39,4,15,3
39,5,6,4
39,6,18,3
39,7,12,14
39,8,9,12
39,9,12,9
40,0,18,10
40,1,3,9
40,2,4,6
40,3,12,18
40,4,15,3
40,5,6,4
40,6,17,3
40,7,12,15
40,8,10,12
40,9,11,9
41,0,18,11
41,1,3,10
41,2,5,6
41,3,12,19
41,4,15,3
41,5,6,4
41,6,16,3
41,7,13,15
41,8,11,12
41,9,10,9
